投苗日期,组织单元,品种,饲养组合,投苗数量
2025-07-17,河源,ehy5,母,11280
2025-07-17,惠州,ay3,母,8550
2025-07-17,惠州,csx5,母,6116
2025-07-17,惠州,ehshZ4,母,10126
2025-07-17,惠州,ehy5,母,8216
2025-07-17,惠州,uhsh4,母,1040
2025-07-17,惠州,uhy5B,母,11280
2025-07-17,昆明,hm3A,公,10035
2025-07-17,昆明,mjq5A,母,9463
2025-07-17,昆明,mjq5A,公,10864
2025-07-17,洛阳,csx5,公,21302
2025-07-17,洛阳,ehshZ4,公,11135
2025-07-17,洛阳,ehy5,公,22820
2025-07-17,韶关,ay2,母,11880
2025-07-17,韶关,csx5,母,17903
2025-07-17,韶关,ehshZ4,母,11455
2025-07-17,韶关,mmt2,母,9340
2025-07-17,韶关,uhsh4,母,25230
2025-07-17,韶关,uhy5B,母,19799
2025-07-17,韶关,yh2A,母,10068
2025-07-17,泰安,gmt2,公,9695
2025-07-17,泰安,uhsh4,公,27470
2025-07-17,台州,ay2,公,8897
2025-07-17,台州,hsx2,公,8515
2025-07-17,台州,my3,母,10080
2025-07-17,台州,uhmt2,公,8435
2025-07-17,台州,yh3A,公,11125
2025-07-17,潍坊,my4,公,9325
2025-07-17,湘潭,bx4A,混,29520
2025-07-17,徐州,csx5,公,8750
2025-07-18,安远,uhmt2A,母,8030
2025-07-18,安远,uhmt2A,公,17700
2025-07-18,安远,uhmt3A,公,10655
2025-07-18,常州,ay2,母,10680
2025-07-18,常州,ay2,母,8920
2025-07-18,常州,ay2,公,10680
2025-07-18,常州,csx5,母,2480
2025-07-18,常州,csx5,公,2480
2025-07-18,常州,mjqZ5,母,6890
2025-07-18,常州,mjqZ5,公,6890
2025-07-18,常州,msx2,母,4755
2025-07-18,常州,msx2,公,4755
2025-07-18,常州,my3,母,4710
2025-07-18,常州,my3,公,4710
2025-07-18,常州,uhsh4,母,6700
2025-07-18,常州,uhsh4,公,6700
2025-07-18,常州,yh3A,公,10860
2025-07-18,常州,ymt2,母,10320
2025-07-18,常州,ymt2,公,10320
2025-07-18,重庆,cmt1,公,10080
2025-07-18,重庆,gmt2,公,7510
2025-07-18,重庆,uhsh4,公,9428
2025-07-18,阜阳,csx5,公,11185
2025-07-18,阜阳,ehy5,公,8240
2025-07-18,阜阳,gw5,混,11760
2025-07-18,阜阳,msx2,公,10680
2025-07-18,阜阳,uhy5B,公,7155
2025-07-18,合肥,bx4A,混,26480
2025-07-18,河源,yh2A,母,9760
2025-07-18,惠州,csx5,母,22465
2025-07-18,惠州,hm3A,母,26400
2025-07-18,惠州,uhsh2,公,9818
2025-07-18,嘉兴,csx4,母,7540
2025-07-18,嘉兴,ehy5,母,11585
2025-07-18,昆明,ay2,母,8560
2025-07-18,柳州,csx5,母,12190
2025-07-18,洛阳,gw8,混,17730
2025-07-18,洛阳,hm3A,公,9833
2025-07-18,南雄,msx2+,母,11235
2025-07-18,南雄,uhmt2A,公,10135
2025-07-18,南雄,ymt2,母,11120
2025-07-18,南阳,uhmt2A,公,13660
2025-07-18,平顶山,mjqZ5,公,12480
2025-07-18,韶关,csx5,母,21070
2025-07-18,韶关,gmt2,母,7040
2025-07-18,韶关,uhy5B,母,8470
2025-07-18,泰安,csx5,公,10175
2025-07-18,台州,ehmt3A,公,11440
2025-07-18,台州,hsx2,公,4290
2025-07-18,台州,my3,母,8350
2025-07-18,台州,uhsh4,母,4377
2025-07-18,台州,uhsh4,公,4960
2025-07-18,台州,uhsh4,公,4378
2025-07-18,潍坊,ay2,公,12829
2025-07-18,潍坊,csx5,公,16252
2025-07-18,潍坊,ehshZ4,公,21330
2025-07-18,潍坊,hl4,公,8480
2025-07-18,潍坊,xsx3,公,13312
2025-07-18,梧州,yh2A,母,12780
2025-07-18,湘潭,bx4A,混,29760
2025-07-18,湘潭,yh2A,母,11440
2025-07-18,徐州,csx5,公,13655
2025-07-18,徐州,uhmt2,公,8480
2025-07-18,扬州,csx5,公,10320
2025-07-19,安顺,hm3A,公,9920
2025-07-19,安远,csx5,母,16100
2025-07-19,安远,uhsh4,母,11385
2025-07-19,安远,uhy5B,公,17085
2025-07-19,常州,csx5,母,21160
2025-07-19,常州,csx5,公,21160
2025-07-19,常州,hsx2,母,5400
2025-07-19,常州,hsx2,公,5400
2025-07-19,常州,mjqZ5,母,6590
2025-07-19,常州,mjqZ5,公,6590
2025-07-19,常州,msx2,母,10705
2025-07-19,常州,msx2,公,10705
2025-07-19,常州,uhmt2,母,2060
2025-07-19,常州,uhmt2,公,2060
2025-07-19,重庆,ehshZ4,公,8180
2025-07-19,重庆,yh2A,公,10335
2025-07-19,阜阳,hm3A,公,15635
2025-07-19,合肥,csx5,公,10357
2025-07-19,河源,yh2A,母,9590
2025-07-19,惠州,csx5,母,17910
2025-07-19,惠州,ehsh4,母,13200
2025-07-19,惠州,uhy5B,母,16943
2025-07-19,昆明,ehshZ4,母,9380
2025-07-19,昆明,ehshZ4,公,1050
2025-07-19,昆明,mjq5A,母,5338
2025-07-19,昆明,mjq5A,公,9765
2025-07-19,昆明,mpw3A,母,3760
2025-07-19,昆明,mpw3A,公,8362
2025-07-19,柳州,csx4,母,14960
2025-07-19,洛阳,ay2,公,25390
2025-07-19,洛阳,csx5,公,11148
2025-07-19,洛阳,ehshZ4,公,10980
2025-07-19,洛阳,hl4,母,9890
2025-07-19,洛阳,hl4,公,9553
2025-07-19,洛阳,my3,母,400
2025-07-19,洛阳,my3,公,9650
2025-07-19,南雄,csx5,母,13470
2025-07-19,南雄,ehshZ4,母,23898
2025-07-19,南雄,hl4,母,8610
2025-07-19,南雄,hl4,公,8600
2025-07-19,南雄,uhmt2A,公,13660
2025-07-19,南雄,uhsh4,母,20040
2025-07-19,南雄,uhsh4,公,10815
2025-07-19,平顶山,hm3A,公,11000
2025-07-19,平顶山,mjh5,公,11175
2025-07-19,韶关,ehshZ4,母,19842
2025-07-19,韶关,uhy5B,母,7188
2025-07-19,韶关,yh2A,母,12150
2025-07-19,泰安,csx5,公,13665
2025-07-19,泰安,ehshZ4,公,9810
2025-07-19,泰安,msx2+,公,11360
2025-07-19,泰安,my3,公,8335
2025-07-19,台州,uhmt2,公,8480
2025-07-19,潍坊,ay2,公,18526
2025-07-19,潍坊,csx5,公,20480
2025-07-19,梧州,uhmt2A,母,8155
2025-07-19,梧州,uhsh4,母,10815
2025-07-19,扬州,csx5,公,8800
2025-07-20,安顺,ay2,母,16770
2025-07-20,安远,hsx2,公,13120
2025-07-20,安远,uhmt2A,母,10270
2025-07-20,安远,uhmt2A,公,8720
2025-07-20,常州,ay2,母,6250
2025-07-20,常州,ay2,公,9910
2025-07-20,常州,ay2,公,6250
2025-07-20,常州,cmt1,母,8030
2025-07-20,常州,csx5,母,17760
2025-07-20,常州,csx5,公,17760
2025-07-20,常州,mjh5,母,12550
2025-07-20,常州,my3,母,5020
2025-07-20,常州,my3,公,5020
2025-07-20,常州,uhmt2,母,14415
2025-07-20,常州,uhmt2,公,14415
2025-07-20,常州,uhy5B,母,6650
2025-07-20,常州,uhy5B,公,6650
2025-07-20,重庆,gmt2,公,7300
2025-07-20,重庆,uhsh4,公,17785
2025-07-20,阜阳,ay2,公,13280
2025-07-20,阜阳,cmt1,公,9250
2025-07-20,阜阳,csx5,公,20185
2025-07-20,阜阳,ehsh4,公,9955
2025-07-20,阜阳,gmt2,公,9680
2025-07-20,阜阳,gw5,混,10880
2025-07-20,阜阳,my3,公,10080
2025-07-20,河源,ehshZ4,母,11535
2025-07-20,河源,uhy5B,母,11605
2025-07-20,惠州,csx5,母,11520
2025-07-20,惠州,gw5,混,12993
2025-07-20,惠州,hsx2,母,16666
2025-07-20,昆明,yh3A,母,11223
2025-07-20,柳州,csx5,母,10708
2025-07-20,洛阳,csx4,公,10248
2025-07-20,洛阳,uhmt2,公,10000
2025-07-20,南阳,ehmt2A,公,10880
2025-07-20,平顶山,mjqZ5,公,8840
2025-07-20,韶关,ay2,母,10190
2025-07-20,韶关,ay3,母,8660
2025-07-20,韶关,csx5,母,8060
2025-07-20,韶关,uhsh4,母,20490
2025-07-20,韶关,uhy5B,母,8020
2025-07-20,韶关,yh2A,母,9920
2025-07-20,泰安,csx5,公,19615
2025-07-20,泰安,uhsh4,公,13988
2025-07-20,台州,ay2,公,17699
2025-07-20,台州,csx5,母,9095
2025-07-20,台州,csx5,公,9095
2025-07-20,台州,hsx2,公,16900
2025-07-20,台州,my3,母,9900
2025-07-20,台州,uhmt2,公,10235
2025-07-20,潍坊,ay2,公,1520
2025-07-20,潍坊,ehy5,公,10492
2025-07-20,梧州,uhmt2A,母,20495
2025-07-20,湘潭,bx4A,混,36190
2025-07-20,湘潭,yh2A,母,9055
2025-07-20,徐州,csx5,公,13545
2025-07-20,徐州,ehsh4,公,13400
2025-07-21,安庆,csx5,母,10268
2025-07-21,安顺,ay2,母,8400
2025-07-21,安远,csx5,母,9299
2025-07-21,安远,ehshZ4,母,8000
2025-07-21,安远,gmt2A,母,12351
2025-07-21,安远,hm5A,母,10015
2025-07-21,安远,uhmt2A,母,9120
2025-07-21,安远,uhmt2A,公,22630
2025-07-21,常州,ay2,母,6780
2025-07-21,常州,ay2,公,6780
2025-07-21,常州,csx5,母,9000
2025-07-21,常州,csx5,公,9000
2025-07-21,常州,gw5,混,8900
2025-07-21,常州,hsx2,母,6185
2025-07-21,常州,hsx2,公,6185
2025-07-21,常州,mjqZ5,母,6800
2025-07-21,常州,mjqZ5,公,6800
2025-07-21,常州,uhsh4,母,14215
2025-07-21,常州,uhsh4,公,14215
2025-07-21,常州,yh3A,公,11160
2025-07-21,重庆,ehshZ4,公,8476
2025-07-21,阜阳,hl4,公,8650
2025-07-21,阜阳,my3,公,9800
2025-07-21,合肥,bx4A,混,33040
2025-07-21,河源,hm3A,母,9843
2025-07-21,惠州,csx5,母,16257
2025-07-21,惠州,hm3A,母,20420
2025-07-21,惠州,hsx2,母,9565
2025-07-21,惠州,mmt2,母,9580
2025-07-21,惠州,uhsh2,公,9343
2025-07-21,惠州,yh2A,母,13062
2025-07-21,嘉兴,csx5,母,10030
2025-07-21,昆明,hm3A,公,9878
2025-07-21,洛阳,csx5,公,21423
2025-07-21,洛阳,ehshZ4,公,18350
2025-07-21,洛阳,hl4,公,17395
2025-07-21,南雄,ay2,母,12610
2025-07-21,南雄,hl4,母,6130
2025-07-21,南阳,uhmt2A,公,10240
2025-07-21,平顶山,mjh5,公,13065
2025-07-21,韶关,csx5,母,7840
2025-07-21,韶关,yh2A,母,10200
2025-07-21,泰安,my3,公,8380
2025-07-21,台州,ay2,母,9370
2025-07-21,台州,csx5,公,5600
2025-07-21,台州,hsx2,公,4300
2025-07-21,台州,mjqZ5,公,5000
2025-07-21,台州,uhmt2,母,5030
2025-07-21,台州,uhmt2,公,5030
2025-07-21,潍坊,csx5,公,26530
2025-07-21,潍坊,ehy4,公,13080
2025-07-21,潍坊,gw5,混,13390
2025-07-21,潍坊,my4,公,12620
2025-07-21,徐州,csx5,公,8655
2025-07-21,徐州,uhmt2A,公,10178
2025-07-21,自贡,gmt2,公,9780
2025-07-22,安远,ay2,母,8266
2025-07-22,安远,uhmt2A,公,8720
2025-07-22,常州,csx5,母,6825
2025-07-22,常州,csx5,公,6825
2025-07-22,常州,mjqZ5,母,4080
2025-07-22,常州,mjqZ5,公,4080
2025-07-22,常州,msx2,母,8320
2025-07-22,常州,msx2,公,8320
2025-07-22,常州,my3,母,4950
2025-07-22,常州,my3,公,4950
2025-07-22,常州,uhmt2,母,5540
2025-07-22,常州,uhmt2,公,5540
2025-07-22,常州,uhsh4,母,15110
2025-07-22,常州,uhsh4,公,15110
2025-07-22,重庆,yh2A,公,13227
2025-07-22,阜阳,ay2,公,10064
2025-07-22,阜阳,uhy5B,公,7200
2025-07-22,河源,ehy5,母,11135
2025-07-22,河源,hm3A,母,20540
2025-07-22,惠州,csx5,母,22466
2025-07-22,惠州,ehy5,母,11091
2025-07-22,惠州,hm3A,母,23886
2025-07-22,惠州,uhmt1A,母,9080
2025-07-22,惠州,uhy5B,母,13620
2025-07-22,惠州,uhy5B,公,13827
2025-07-22,昆明,hm3A,公,9705
2025-07-22,昆明,mjq5A,母,5614
2025-07-22,昆明,mjq5A,公,9562
2025-07-22,昆明,yh3A,母,10914
2025-07-22,昆明,yh3A,公,10955
2025-07-22,柳州,csx5,母,9615
2025-07-22,洛阳,ehy5,公,11255
2025-07-22,洛阳,hl4,公,9694
2025-07-22,洛阳,my3,公,8585
2025-07-22,南雄,ay2,母,13210
2025-07-22,南雄,ehshZ4,母,11620
2025-07-22,南雄,ehshZ4,公,11520
2025-07-22,南雄,uhmt3A,公,10400
2025-07-22,平顶山,hm3A,公,19680
2025-07-22,平顶山,mjh5,公,11161
2025-07-22,韶关,csx5,母,25355
2025-07-22,韶关,ehsh4,母,6910
2025-07-22,韶关,uhy5B,母,8541
2025-07-22,韶关,yh2A,母,10098
2025-07-22,泰安,csx5,公,10160
2025-07-22,台州,csx5,母,6160
2025-07-22,台州,csx5,公,6160
2025-07-22,台州,ehmt3A,公,11470
2025-07-22,台州,my3,母,7840
2025-07-22,潍坊,ehshZ4,公,10316
2025-07-22,潍坊,uhsh4,公,10040
2025-07-22,梧州,uhmt2A,母,14021
2025-07-22,梧州,uhsh4,母,16615
2025-07-22,湘潭,bx4A,混,36920
2025-07-22,湘潭,yh2A,母,10140
2025-07-22,徐州,csx5,公,7712
2025-07-22,徐州,uhmt2,公,8540
2025-07-22,扬州,csx5,公,10660
2025-07-22,自贡,csx5,公,11407
2025-07-23,安远,ay2,母,8629
2025-07-23,安远,ehshZ4,母,8435
2025-07-23,安远,gw5,混,10590
2025-07-23,安远,hm5A,母,9700
2025-07-23,安远,uhmt2A,母,9220
2025-07-23,安远,uhmt2A,公,9180
2025-07-23,常州,ay2,母,12835
2025-07-23,常州,csx5,母,15370
2025-07-23,常州,csx5,公,15370
2025-07-23,常州,ehy5,母,4160
2025-07-23,常州,ehy5,公,4160
2025-07-23,常州,hm3A,公,13542
2025-07-23,常州,mjqZ5,母,2480
2025-07-23,常州,mjqZ5,公,2480
2025-07-23,常州,uhmt2,母,3080
2025-07-23,常州,uhmt2,公,3080
2025-07-23,常州,uhsh4,母,5120
2025-07-23,常州,uhsh4,公,5120
2025-07-23,常州,uhy5B,母,6600
2025-07-23,常州,uhy5B,公,6600
2025-07-23,常州,ymt2,母,10340
2025-07-23,常州,ymt2,公,10340
2025-07-23,重庆,ehshZ4,公,9556
2025-07-23,重庆,gmt2,公,7360
2025-07-23,重庆,uhsh4,公,8390
2025-07-23,阜阳,gw5,混,12980
2025-07-23,阜阳,hl4,公,8680
2025-07-23,阜阳,msx2,公,11030
2025-07-23,阜阳,my3,公,9740
2025-07-23,合肥,csx5,公,9970
2025-07-23,河源,ehshZ4,母,18420
2025-07-23,河源,uhy5B,母,10505
2025-07-23,惠州,csx5,母,13572
2025-07-23,惠州,ehshZ4,母,17360
2025-07-23,惠州,msx3,母,9060
2025-07-23,惠州,myq2A,母,9555
2025-07-23,惠州,uhmt2A,母,15459
2025-07-23,惠州,uhmt2A,公,17600
2025-07-23,惠州,uhsh2,公,9889
2025-07-23,惠州,uhy5B,母,21587
2025-07-23,嘉兴,csx4,母,11095
2025-07-23,昆明,ehshZ4,母,9140
2025-07-23,昆明,ehshZ4,公,1010
2025-07-23,柳州,ymt2,母,13570
2025-07-23,洛阳,csx5,公,10245
2025-07-23,洛阳,ehshZ4,公,10040
2025-07-23,南雄,csx5,母,13440
2025-07-23,南雄,msx2+,母,10720
2025-07-23,南雄,uhy5B,公,17280
2025-07-23,韶关,ay3,母,8677
2025-07-23,韶关,csx5,母,18300
2025-07-23,韶关,ehshZ4,母,13340
2025-07-23,韶关,uhy5B,母,15265
2025-07-23,韶关,yh2A,母,10045
2025-07-23,泰安,csx5,公,9892
2025-07-23,泰安,ehy5,公,9185
2025-07-23,泰安,my3,公,9475
2025-07-23,台州,hsx2,公,8656
2025-07-23,台州,uhmt2,公,8695
2025-07-23,潍坊,csx5,公,22935
2025-07-23,潍坊,hl4,公,8665
2025-07-23,潍坊,yh3A,公,11715
2025-07-23,梧州,uhsh4,母,12915
2025-07-23,徐州,csx5,公,13715
2025-07-23,徐州,uhsh4,公,19721
2025-07-24,安庆,uhmt1A,公,8400
2025-07-24,安远,gw5,混,13535
2025-07-24,安远,hm5A,母,10143
2025-07-24,安远,uhmt2A,母,10205
2025-07-24,安远,uhmt2A,公,13345
2025-07-24,常州,ay2,母,6220
2025-07-24,常州,ay2,公,9963
2025-07-24,常州,ay2,公,6220
2025-07-24,常州,csx5,母,20555
2025-07-24,常州,csx5,公,20555
2025-07-24,常州,gw5,混,10480
2025-07-24,常州,mjh5,母,13200
2025-07-24,常州,msx2,母,4980
2025-07-24,常州,msx2,公,4980
2025-07-24,常州,uhmt2,母,5320
2025-07-24,常州,uhmt2,公,5320
2025-07-24,常州,uhsh4,母,6740
2025-07-24,常州,uhsh4,公,6740
2025-07-24,阜阳,csx5,公,18640
2025-07-24,阜阳,ehsh4,公,10065
2025-07-24,阜阳,ehy5,公,8100
2025-07-24,合肥,bx4A,混,33040
2025-07-24,合肥,ehy5,公,8053
2025-07-24,河源,ay2,母,11390
2025-07-24,惠州,csx5,母,19937
2025-07-24,惠州,hsx2,母,18516
2025-07-24,嘉兴,csx5,母,9980
2025-07-24,嘉兴,gw5,混,15680
2025-07-24,昆明,ay2,母,8692
2025-07-24,昆明,hm3A,公,9825
2025-07-24,昆明,mjq5A,母,5462
2025-07-24,昆明,mjq5A,公,9800
2025-07-24,昆明,mpw3A,母,3990
2025-07-24,昆明,mpw3A,公,8229
2025-07-24,洛阳,ay2,公,25120
2025-07-24,洛阳,csx4,公,10880
2025-07-24,洛阳,ehshZ4,公,10480
2025-07-24,洛阳,uhmt2,母,600
2025-07-24,洛阳,uhmt2,公,9820
2025-07-24,洛阳,uhmt2,公,600
2025-07-24,南雄,hl4,母,8498
2025-07-24,南雄,hl4,公,8800
2025-07-24,南雄,uhmt2A,母,13510
2025-07-24,南雄,uhsh4,母,20110
2025-07-24,南雄,uhsh4,公,10258
2025-07-24,南阳,gw5,混,11200
2025-07-24,南阳,mjqZ5,公,4695
2025-07-24,南阳,uhmt2A,公,13630
2025-07-24,南阳,uhsh4,公,8000
2025-07-24,韶关,csx5,母,10240
2025-07-24,韶关,uhsh4,母,25140
2025-07-24,韶关,yh2A,母,10110
2025-07-24,泰安,csx5,公,27145
2025-07-24,泰安,gmt2,公,9870
2025-07-24,台州,csx5,母,11310
2025-07-24,台州,hl4,母,6190
2025-07-24,台州,uhmt2,公,8610
2025-07-24,潍坊,ay2,公,23060
2025-07-24,潍坊,xsx3,公,12545
2025-07-24,梧州,uhmt2A,母,15020
2025-07-24,梧州,uhsh4,母,9360
2025-07-24,湘潭,bx4A,混,36480
2025-07-24,湘潭,cmt1,母,9460
2025-07-24,自贡,csx5,公,11316
2025-07-25,安远,ay2,母,8259
2025-07-25,安远,csx5,母,9225
2025-07-25,安远,ehshZ4,母,8800
2025-07-25,安远,uhmt2A,母,9180
2025-07-25,安远,uhmt2A,公,9090
2025-07-25,常州,ay2,母,6540
2025-07-25,常州,ay2,公,940
2025-07-25,常州,csx5,母,15935
2025-07-25,常州,csx5,公,15935
2025-07-25,常州,hsx2,母,5960
2025-07-25,常州,hsx2,公,5960
2025-07-25,常州,mjqZ5,母,6800
2025-07-25,常州,mjqZ5,公,6800
2025-07-25,常州,msx2,母,4860
2025-07-25,常州,msx2,公,4860
2025-07-25,常州,uhsh4,母,4760
2025-07-25,常州,uhsh4,公,4760
2025-07-25,重庆,cmt1,公,12340
2025-07-25,重庆,ehshZ4,公,9721
2025-07-25,重庆,uhsh4,公,9381
2025-07-25,阜阳,ay2,公,13220
2025-07-25,阜阳,gmt2,公,18430
2025-07-25,阜阳,gmt2A,公,9860
2025-07-25,阜阳,gw8,混,14140
2025-07-25,阜阳,msx2,公,10342
2025-07-25,阜阳,uhy5B,公,7200
2025-07-25,河源,ay3,母,8714
2025-07-25,河源,ehy5,母,8000
2025-07-25,河源,yh2A,母,8680
2025-07-25,惠州,csx5,母,19410
2025-07-25,惠州,ehsh4,母,9920
2025-07-25,惠州,ehshZ4,母,10080
2025-07-25,惠州,gw5,混,9600
2025-07-25,惠州,mmt2,母,9776
2025-07-25,惠州,yh2A,母,8653
2025-07-25,昆明,ehshZ4,母,9120
2025-07-25,昆明,ehshZ4,公,1025
2025-07-25,洛阳,gw5,混,14675
2025-07-25,洛阳,hl4,公,9730
2025-07-25,洛阳,hm3A,公,9730
2025-07-25,洛阳,mshZ3,公,10000
2025-07-25,南雄,uhmt2A,公,8850
2025-07-25,南阳,csx5,公,21650
2025-07-25,韶关,csx5,母,16040
2025-07-25,韶关,ehsh4,母,6880
2025-07-25,韶关,yh2A,母,10300
2025-07-25,台州,yh3A,公,10996
2025-07-25,潍坊,ay2,公,10425
2025-07-25,潍坊,csx5,公,20421
2025-07-25,潍坊,uhsh4,公,10400
2025-07-25,梧州,uhmt2A,母,13766
2025-07-25,湘潭,yh2A,母,13760
2025-07-25,徐州,uhmt2,公,8440
2025-07-25,扬州,csx5,公,8160
2025-07-25,自贡,cmt1,母,10550
2025-07-26,安庆,mjqZ5,母,12480
2025-07-26,安远,ay2,母,8440
2025-07-26,安远,gmt2A,母,12410
2025-07-26,安远,uhsh4,母,11713
2025-07-26,安远,uhy5B,公,10000
2025-07-26,安远,xsx3,公,13154
2025-07-26,常州,ay2,母,6775
2025-07-26,常州,ay2,公,6775
2025-07-26,常州,csx5,母,13295
2025-07-26,常州,csx5,公,13295
2025-07-26,常州,msx2,母,7950
2025-07-26,常州,msx2,公,7950
2025-07-26,常州,my3,母,4935
2025-07-26,常州,my3,公,4935
2025-07-26,常州,uhsh4,母,12200
2025-07-26,常州,uhsh4,公,12200
2025-07-26,重庆,uhsh4,公,8280
2025-07-26,阜阳,msx2,公,13120
2025-07-26,阜阳,my3,公,19290
2025-07-26,河源,ehy5,母,10980
2025-07-26,惠州,csx5,母,23200
2025-07-26,惠州,ehsh4,母,8538
2025-07-26,惠州,hm3A,母,16332
2025-07-26,惠州,uhmt2A,母,20023
2025-07-26,惠州,uhsh2,公,9377
2025-07-26,惠州,uhy5B,母,20400
2025-07-26,惠州,yh2A,母,10258
2025-07-26,嘉兴,ehy5,母,11495
2025-07-26,柳州,csx5,母,10085
2025-07-26,洛阳,csx5,公,11153
2025-07-26,洛阳,ehsh4,公,10000
2025-07-26,洛阳,ehshZ4,公,28807
2025-07-26,洛阳,ehy5,公,11280
2025-07-26,洛阳,gw5,混,11280
2025-07-26,洛阳,hm3A,公,16800
2025-07-26,南雄,uhmt3A,公,10480
2025-07-26,南阳,ehmt2A,公,10930
2025-07-26,平顶山,mjh5,公,11040
2025-07-26,平顶山,mjqZ5,公,9520
2025-07-26,韶关,csx5,母,10290
2025-07-26,韶关,uhy5B,母,15676
2025-07-26,韶关,yh2A,母,10095
2025-07-26,泰安,uhsh4,公,11695
2025-07-26,台州,gw5,混,10670
2025-07-26,台州,hsx2,公,7760
2025-07-26,台州,my3,母,17570
2025-07-26,潍坊,ay2,公,9882
2025-07-26,潍坊,csx5,公,19701
2025-07-26,潍坊,ehmt2A,公,9878
2025-07-26,潍坊,gw5,混,13155
2025-07-26,潍坊,hl4,公,8560
2025-07-26,潍坊,my4,公,6180
2025-07-26,梧州,uhmt2A,母,13200
2025-07-26,徐州,csx5,公,18336
2025-07-27,安顺,ay2,母,8720
2025-07-27,安远,hm5A,母,9729
2025-07-27,安远,uhmt2A,母,9085
2025-07-27,安远,uhmt2A,公,22850
2025-07-27,常州,ay2,母,6680
2025-07-27,常州,ay2,公,9980
2025-07-27,常州,ay2,公,6680
2025-07-27,常州,csx5,母,7195
2025-07-27,常州,csx5,公,7195
2025-07-27,常州,gw5,混,12560
2025-07-27,常州,mjh5,母,13280
2025-07-27,常州,mjqZ5,母,6570
2025-07-27,常州,mjqZ5,公,6570
2025-07-27,常州,msx2,母,4460
2025-07-27,常州,msx2,公,4460
2025-07-27,常州,uhmt2,母,7440
2025-07-27,常州,uhmt2,公,7440
2025-07-27,常州,uhsh4,母,5785
2025-07-27,常州,uhsh4,公,5785
2025-07-27,常州,yh3A,公,10950
2025-07-27,常州,ymt2,母,6895
2025-07-27,常州,ymt2,公,6895
2025-07-27,重庆,uhsh4,公,9453
2025-07-27,重庆,yh2A,公,10591
2025-07-27,阜阳,csx5,公,9720
2025-07-27,惠州,csx5,母,16499
2025-07-27,惠州,gw5,混,1776
2025-07-27,惠州,hm3A,母,16302
2025-07-27,惠州,hm3A,公,3746
2025-07-27,惠州,uhmt1A,母,9120
2025-07-27,嘉兴,csx5,母,9857
2025-07-27,嘉兴,my3,母,10018
2025-07-27,昆明,hm3A,公,9995
2025-07-27,昆明,mjq5A,母,5500
2025-07-27,昆明,mjq5A,公,9612
2025-07-27,昆明,yh3A,母,10434
2025-07-27,昆明,yh3A,公,11688
2025-07-27,柳州,csx5,母,10570
2025-07-27,洛阳,csx5,公,11195
2025-07-27,洛阳,ehy5,公,11495
2025-07-27,洛阳,gw5,混,11260
2025-07-27,南雄,ay2,母,12530
2025-07-27,南雄,ehshZ4,母,11390
2025-07-27,南雄,uhmt2A,母,10022
2025-07-27,南雄,uhmt2A,公,8820
2025-07-27,韶关,csx5,母,7920
2025-07-27,韶关,gmt2,母,7708
2025-07-27,韶关,hsx2,母,7760
2025-07-27,韶关,uhy5B,母,7773
2025-07-27,韶关,yh2A,母,10120
2025-07-27,泰安,csx5,公,10345
2025-07-27,泰安,hl4,公,12864
2025-07-27,泰安,my3,公,8560
2025-07-27,台州,ay2,母,13450
2025-07-27,台州,ay2,公,16805
2025-07-27,台州,ehmt3A,公,11475
2025-07-27,台州,uhmt2,母,4980
2025-07-27,台州,uhmt2,公,4980
2025-07-27,台州,uhsh4,母,4052
2025-07-27,台州,uhsh4,公,8815
2025-07-27,潍坊,csx5,公,23796
2025-07-27,潍坊,ehsh4,公,8640
2025-07-27,梧州,uhmt2A,母,13752
2025-07-27,湘潭,bx4A,混,36400
2025-07-27,徐州,uhmt2,公,14140
2025-07-27,扬州,csx5,公,7955
2025-07-28,安顺,ay2,母,8320
2025-07-28,安顺,ay3,母,9580
2025-07-28,安远,csx5,母,15900
2025-07-28,常州,csx5,母,14560
2025-07-28,常州,csx5,公,14560
2025-07-28,常州,ehmt2A,公,9680
2025-07-28,常州,hsx2,母,6030
2025-07-28,常州,hsx2,公,6030
2025-07-28,常州,mjqZ5,母,6770
2025-07-28,常州,mjqZ5,公,6770
2025-07-28,常州,uhsh4,母,11670
2025-07-28,常州,uhsh4,公,11670
2025-07-28,常州,uhy5B,母,6575
2025-07-28,常州,uhy5B,公,6575
2025-07-28,重庆,ehshZ4,公,10300
2025-07-28,合肥,bx4A,混,30480
2025-07-28,河源,msx2+,母,11140
2025-07-28,惠州,csx5,母,16015
2025-07-28,惠州,gw5,混,13348
2025-07-28,惠州,hsx2,母,10200
2025-07-28,惠州,msx2+,母,11108
2025-07-28,惠州,uhmt2A,母,5840
2025-07-28,昆明,ehshZ4,母,9295
2025-07-28,昆明,ehshZ4,公,1000
2025-07-28,昆明,yh3A,母,10700
2025-07-28,昆明,yh3A,公,10500
2025-07-28,洛阳,csx5,公,9940
2025-07-28,洛阳,ehshZ4,公,21440
2025-07-28,南雄,ymt2,母,10980
2025-07-28,平顶山,mjqZ5,公,9265
2025-07-28,韶关,ay2,母,10260
2025-07-28,韶关,gmt2,母,7400
2025-07-28,韶关,uhsh4,母,23946
2025-07-28,泰安,uhsh4,公,17218
2025-07-28,台州,ay2,公,17380
2025-07-28,台州,csx5,公,8610
2025-07-28,台州,hsx2,公,8700
